Bioguide_ID,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,Topic30,Topic31,Topic32,Topic33,Topic34,Topic35,Topic36,Topic37,Topic38,Topic39,Topic40,Topic41,Topic42,Topic43,Topic44,Topic45,Topic46,Topic47,Topic48,Topic49
B001224,0.0050761280581355095,0.00925662461668253,0.004403141792863607,0.006362694315612316,0.05301272124052048,0.03353162854909897,0.0049074431881308556,0.006214178167283535,0.007156823296099901,0.006541186943650246,0.006157341413199902,0.013184591196477413,0.005041648633778095,0.029007185250520706,0.024732070043683052,0.004310017917305231,0.010973865166306496,0.006587945390492678,0.003970115911215544,0.027872610837221146,0.005011795088648796,0.006420581601560116,0.004397598560899496,0.0043359724804759026,0.004871159791946411,0.024652671068906784,0.012647541239857674,0.004402834922075272,0.028975307941436768,0.02690686285495758,0.032803334295749664,0.0074942209757864475,0.00456170504912734,0.06729602813720703,0.004837960470467806,0.0054900143295526505,0.04807986691594124,0.32043689489364624,0.004589646589010954,0.005197522230446339,0.00584319606423378,0.0048844339326024055,0.02408668026328087,0.012689420022070408,0.03368246182799339,0.0074661471880972385,0.004249384626746178,0.005061425734311342,0.005612821318209171,0.004714567679911852
B001248,0.023893916979432106,0.033570270985364914,0.006798503454774618,0.008970349095761776,0.007997419685125351,0.030465830117464066,0.022029591724276543,0.009238655678927898,0.03622351214289665,0.03061102330684662,0.038639772683382034,0.027620937675237656,0.008101142011582851,0.007874202914536,0.00706924544647336,0.11059560626745224,0.005669624079018831,0.007950340397655964,0.02214900217950344,0.008360153995454311,0.010164450854063034,0.015171850100159645,0.007554803974926472,0.00625024177134037,0.007024172227829695,0.030614783987402916,0.01870221644639969,0.02253403328359127,0.006667101290076971,0.054909415543079376,0.04051820933818817,0.007460227236151695,0.010173325426876545,0.006154137197881937,0.009054361842572689,0.013378944247961044,0.025822153314948082,0.028289975598454475,0.05304795876145363,0.007194852456450462,0.019641315564513206,0.015746379271149635,0.03596416860818863,0.015325899235904217,0.011317471973598003,0.009728939272463322,0.018612470477819443,0.015391348861157894,0.015235968865454197,0.008519697934389114
B001257,0.003943045623600483,0.004017549566924572,0.0039990972727537155,0.005921254865825176,0.005256741773337126,0.003676322288811207,0.021884839981794357,0.005045443307608366,0.031064556911587715,0.17506064474582672,0.004163023550063372,0.0036395133938640356,0.015578118152916431,0.004462765529751778,0.004300707019865513,0.026445692405104637,0.006451565306633711,0.004988786298781633,0.013050172477960587,0.004689650144428015,0.15235118567943573,0.0046827467158436775,0.011599053628742695,0.004471062682569027,0.016316253691911697,0.07753442972898483,0.004177409689873457,0.004328373819589615,0.0037279492244124413,0.026404274627566338,0.004960825201123953,0.004849090240895748,0.07113540172576904,0.0034150194842368364,0.004953015595674515,0.004300510045140982,0.018160834908485413,0.01689070649445057,0.09933802485466003,0.021536046639084816,0.017290771007537842,0.007338076364248991,0.015512124635279179,0.0037314309738576412,0.026302259415388107,0.005717018619179726,0.003940604627132416,0.004003765527158976,0.004629434086382389,0.008762888610363007
B001275,0.003649528604000807,0.0035657247062772512,0.0035752460826188326,0.004371659364551306,0.003815767355263233,0.003929651342332363,0.022783134132623672,0.003983201924711466,0.004750164225697517,0.1878553330898285,0.003364679403603077,0.0032277542632073164,0.0031136982142925262,0.0034609518479555845,0.005311158485710621,0.0028270205948501825,0.002642644802108407,0.004181732889264822,0.020008336752653122,0.004586301278322935,0.028194088488817215,0.0035646946635097265,0.01638784632086754,0.003116408595815301,0.003451024182140827,0.03811974078416824,0.008120176382362843,0.0032878988422453403,0.0029781092889606953,0.2229148894548416,0.00395449623465538,0.004348305054008961,0.04296967014670372,0.0030345425475388765,0.003334206296131015,0.0024339882656931877,0.00434089032933116,0.004101552069187164,0.20450259745121002,0.0033802599646151066,0.055385831743478775,0.0034265273716300726,0.002833169186487794,0.0028700679540634155,0.014482847414910793,0.004718946758657694,0.003160919528454542,0.004006548319011927,0.0036018602550029755,0.003974187187850475
B001278,0.007984105497598648,0.00451013445854187,0.022233139723539352,0.005404547322541475,0.004821630194783211,0.024296995252370834,0.004972370341420174,0.005171441938728094,0.009807005524635315,0.023782623931765556,0.005285977385938168,0.03129621595144272,0.005254006013274193,0.022699343040585518,0.008595137856900692,0.0043424456380307674,0.03449399769306183,0.006273921113461256,0.02278178185224533,0.004549864213913679,0.006759585812687874,0.005022997502237558,0.004347457550466061,0.020879656076431274,0.14305756986141205,0.042043834924697876,0.0053304629400372505,0.008859335444867611,0.0052588568069040775,0.005102136638015509,0.00427335174754262,0.1516007035970688,0.024424826726317406,0.0048177423886954784,0.00499917846173048,0.0042650396935641766,0.004697497934103012,0.058545488864183426,0.0220138281583786,0.004471885971724987,0.006508884020149708,0.004571175202727318,0.004155428614467382,0.005052413325756788,0.033051107078790665,0.007119540125131607,0.11535873264074326,0.004698596894741058,0.025713782757520676,0.004442140925675631
B001281,0.010687313042581081,0.019311528652906418,0.024274442344903946,0.006777340080589056,0.06496994197368622,0.023048637434840202,0.0049215941689908504,0.005018838681280613,0.009896683506667614,0.006705735810101032,0.006347598973661661,0.005112518090754747,0.016371741890907288,0.005556612741202116,0.004550507757812738,0.0038447349797934294,0.045056167989969254,0.005930457729846239,0.004525421187281609,0.009539451450109482,0.008144829422235489,0.00599667988717556,0.045541610568761826,0.004305671900510788,0.014024758711457253,0.003889487124979496,0.005938660353422165,0.005127845332026482,0.005617527756839991,0.025128722190856934,0.006925754714757204,0.006908373441547155,0.01065145805478096,0.18742239475250244,0.008800933137536049,0.004806147422641516,0.005261491984128952,0.023979807272553444,0.023967308923602104,0.004605452995747328,0.026195568963885307,0.004437716212123632,0.004466644953936338,0.004597804043442011,0.030602071434259415,0.00784542690962553,0.03998329117894173,0.013485044240951538,0.0058954330161213875,0.17299875617027283
B001282,0.03650042787194252,0.0928041860461235,0.0038367959205061197,0.0052085560746490955,0.004729514941573143,0.003850834211334586,0.003889827523380518,0.004634760785847902,0.015903674066066742,0.14693117141723633,0.013167284429073334,0.0047489251010119915,0.01840890385210514,0.004287720657885075,0.005021634511649609,0.003347313730046153,0.003218812169507146,0.005361610092222691,0.018449943512678146,0.006299368571490049,0.010119127109646797,0.0041778176091611385,0.18259578943252563,0.01932092383503914,0.004221043083816767,0.02215767279267311,0.02262476272881031,0.0053897425532341,0.0039624422788619995,0.004008633084595203,0.010652007535099983,0.004613011609762907,0.0038795769214630127,0.003787025110796094,0.00369726843200624,0.00392511673271656,0.007244300562888384,0.052466850727796555,0.003752980148419738,0.004734618589282036,0.03503319248557091,0.0058371503837406635,0.027622956782579422,0.003653226187452674,0.003102485556155443,0.0058794463984668255,0.003528169123455882,0.003924190066754818,0.004245558753609657,0.12924161553382874
B001287,0.0015561776235699654,0.00214577023871243,0.0016306516481563449,0.0023913406766951084,0.0019880561158061028,0.04144152253866196,0.002055784221738577,0.002055590506643057,0.0021841609850525856,0.002211993560194969,0.0021391860209405422,0.0016774273244664073,0.0631226971745491,0.0020730842370539904,0.0017599150305613875,0.001544859609566629,0.3045847713947296,0.002060891827568412,0.0014033422339707613,0.00215397821739316,0.0015651440480723977,0.0018369283061474562,0.041559334844350815,0.0017569558694958687,0.002207979094237089,0.0015017346013337374,0.0021033138036727905,0.0017630518414080143,0.002132745459675789,0.08243618160486221,0.0014853030443191528,0.0017663721228018403,0.001640709349885583,0.0416102297604084,0.0016628408338874578,0.0013329085195437074,0.00206600409001112,0.21029901504516602,0.0015130244428291917,0.001752727897837758,0.0022829908411949873,0.0021577023435384035,0.041634730994701385,0.0016397135332226753,0.05560009181499481,0.0026407698169350624,0.04177415743470192,0.002350547816604376,0.001961302012205124,0.0017843301175162196
B001291,0.038779743015766144,0.0015980052994564176,0.0017194650135934353,0.012902320362627506,0.0021561665926128626,0.0013933907030150294,0.03866821154952049,0.0021019582636654377,0.024916766211390495,0.0015619521727785468,0.0020417815539985895,0.038454748690128326,0.04659590497612953,0.0017372443107888103,0.01594274304807186,0.17154023051261902,0.04927453026175499,0.0019722047727555037,0.002474264707416296,0.001946726581081748,0.01662309654057026,0.002031718147918582,0.003251518588513136,0.0016566106351092458,0.03899488225579262,0.0013932123547419906,0.0034820896107703447,0.0021675920579582453,0.002417374635115266,0.00213771709240973,0.0014888534788042307,0.0017603188753128052,0.022530600428581238,0.0603715181350708,0.0018139409366995096,0.029560454189777374,0.002061814069747925,0.007901986129581928,0.03570631891489029,0.001727527822367847,0.03869011625647545,0.0017670071683824062,0.001657721120864153,0.09058938920497894,0.12659674882888794,0.0025891484692692757,0.004686165135353804,0.03310401737689972,0.0018842205172404647,0.0015779661480337381
B001292,0.030826888978481293,0.031488556414842606,0.0038001197390258312,0.0033282889053225517,0.0027527203783392906,0.0403132364153862,0.03964443504810333,0.0026800648774951696,0.009593960829079151,0.0034670603927224874,0.02929416298866272,0.0025616146158427,0.004241425544023514,0.05106603354215622,0.004985927604138851,0.002951656701043248,0.0525595098733902,0.003292524954304099,0.04133886471390724,0.07445507496595383,0.0024358839727938175,0.002921507228165865,0.002347982255741954,0.060398168861866,0.0029963573906570673,0.08644406497478485,0.0034433677792549133,0.00917730387300253,0.060946449637413025,0.0026636284310370684,0.0031955339945852757,0.003028610022738576,0.09539078921079636,0.011251815594732761,0.003052630228921771,0.0101988660171628,0.002845998853445053,0.005155844148248434,0.030185073614120483,0.03020908497273922,0.003071029204875231,0.0026386056561022997,0.01301123108714819,0.002305113710463047,0.08125276863574982,0.003786353627219796,0.002805162686854601,0.022845633327960968,0.0026983432471752167,0.0026546241715550423
