Bioguide_ID,Name,Gender,Party,Born,Number_of_House_Terms,District,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
M001206,Joseph Morelle,M,Democrat,1957,4,NY-25,-0.049757007509469986,-0.1437807166799033
M001208,Lucy McBath,F,Democrat,1960,3,GA-07,-0.39103248715400696,-1.3375839351100762
M001210,Gregory Murphy,M,Republican,1963,3,NC-03,0.1801764816045761,0.6605411748756637
M001211,Mary Miller (Illinois),F,Republican,1959,2,IL-15,0.4399322271347046,1.569183206065789
M001212,Barry Moore (Alabama),M,Republican,1966,2,AL-02,0.22061480581760406,0.8019969912845011
M001213,Blake Moore,M,Republican,1980,2,UT-01,0.20462650060653687,0.7460688881635377
M001214,Frank J. Mrvan,M,Democrat,1969,2,IN-01,-0.29135531187057495,-0.9889068699387623
M001215,Mariannette Miller-Meeks,F,Republican,1955,2,IA-01,0.25591644644737244,0.9254843635492124
M001216,Cory Mills,M,Republican,1980,1,FL-07,0.2877487540245056,1.036835789310073
M001218,Rich McCormick,M,Republican,1968,1,GA-06,0.19778896868228912,0.7221507689192602
M001219,James Moylan,M,Republican,1962,1,GU-AL,0.09852102398872375,0.37490521824108175
M001220,Morgan McGarvey,M,Democrat,1979,1,KY-03,-0.36154380440711975,-1.2344306572737447
M001221,Marcus Molinaro,M,Republican,1975,1,NY-19,0.19482874870300293,0.7117957321547849
M001222,Max Miller (politician),M,Republican,1988,1,OH-07,0.10685331374406815,0.4040520949436902
M001223,Seth Magaziner,M,Democrat,1983,1,RI-02,-0.33463752269744873,-1.140310781639989
M001224,Nathaniel Moran,M,Republican,1974,1,TX-01,0.2254273146390915,0.8188314516031836
M001226,Rob Menendez (New Jersey),M,Democrat,1985,1,NJ-08,-0.20873282849788666,-0.6998881960283361
M001227,Jennifer McClellan,F,Democrat,1972,1,VA-04,-0.46696874499320984,-1.6032137691034396
N000002,Jerrold Nadler,M,Democrat,1947,17,NY-12,-0.3135414719581604,-1.0665154615221764
N000015,Richard Neal,M,Democrat,1949,18,MA-01,-0.1668151468038559,-0.5532574935600918
N000147,Eleanor Holmes Norton,F,Democrat,1937,17,DC-AL,-0.4919678568840027,-1.6906622440545531
